ID,类型,方案,玩法名称,组合编号,总注数,中奖注数,赔率,返水,单注金额,示例,玩法说明,简略说明,奖级,玩法缩写,返水状态
64,前三,前三直选,跨度A面,3_19_64,1000,1,0.980/0.850,0/13%,1,投注方案：跨度8[br]开奖号码：前三位 0-8-X，其中X不等于9；或者前三位1-9-X，其中X不等于0，即中前三直选跨度。,从0-9中任意选择1个号码，所选数值等于开奖号码的前三位最大与最小相减之差，即为中奖,竞猜前三位开奖号码最大与最小之差,,前三直选跨度A面,0
151,前三,前三直选,跨度B面,3_19_151,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,10|54|96|126|144|150|144|126|96|54,0.980/0.850,0/13%,1,投注方案：跨度8[br]开奖号码：前三位 0-8-X，其中X不等于9；或者前三位1-9-X，其中X不等于0，即中前三直选跨度。,从0-9中任意选择1个号码，所选数值等于开奖号码的前三位最大与最小相减之差，即为中奖,竞猜前三位开奖号码最大与最小之差,0|1|2|3|4|5|6|7|8|9,前三直选跨度B面,0
65,前三,前三直选,组合,3_19_65,1000|100|10,1|1|1,0.980/0.850,0/13%,1,投注方案：购买6+7+8，有以下3注:678(三星)、78(二星)、8(一星)构成。[br]开奖号码：678**，即可中三星、二星、一星各1注。,从万位、千位、百位中至少各选一个号码组成1-3星的组合共3注，所选号码的百位与开奖号码全部相同，则中1个3等奖；所选号码的千位、百位与开奖号码全部相同，则中1个3等奖以及1个2等奖，依次类推，最高可中3个奖。,每位至少选择一个号码,三星|二星|一星,前三直选组合,0
66,前三,前三组选,组三,3_20_66,1000,3,0.980/0.850,0/13%,1,投注方案：588[br]开奖号码：前三位 588（顺序不限），即中前三组选三。,从0-9选择2个数字组成二注，所选号码与开奖号码的万位、千位、百位相同，前三的号码为对子，且顺序不限，即为中奖,至少选择2个号码,,前三组选三,0
69,前三,前三组选,和值A面,3_20_69,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：前三位003（顺序不限）即中前三组选三，或者前三位012（顺序不限）即中前三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码万位、千位、百位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的前三位之和（不含豹子）,组三|组六,前三组选和值A面,0
152,前三,前三组选,和值B面,3_20_152,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,3|6|6$12|12$24|15$30|18$36|24$48|30$60|33$66|39$78|42$84|42$84|45$90,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：前三位003（顺序不限）即中前三组选三，或者前三位012（顺序不限）即中前三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码万位、千位、百位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的前三位之和（不含豹子）,1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,前三组选和值B面,0
67,前三,前三组选,组六,3_20_67,1000,6,0.980/0.850,0/13%,1,投注方案：258[br]开奖号码：前三位 852（顺序不限），即中前三组选六。,从0-9选择3个数字组成一注，所选号码与开奖号码的万位、千位、百位相同，前三号码没有相等的球，且顺序不限，即为中奖,至少选择3个号码,,前三组选六,0
70,前三,前三组选,包胆A面,3_20_70,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：包胆3[br]开奖号码：前三位33x或3xx，含有对子即中前三组选三，前三位3xy，三个不重复的号码即中前三组选六。,从0-9中任意选择1个包胆号码，开奖号码的万位、千位、百位中任意1位与所选包胆号码相同（不含豹子号），即为中奖,竞猜开奖号码前三位必出的1个号码,组三|组六,前三组选包胆A面,0
153,前三,前三组选,包胆B面,3_20_153,1000|1000,162|324,0.980/0.850,0/13%,1,投注方案：包胆3[br]开奖号码：前三位33x或3xx，含有对子即中前三组选三，前三位3xy，三个不重复的号码即中前三组选六。,从0-9中任意选择1个包胆号码，开奖号码的万位、千位、百位中任意1位与所选包胆号码相同（不含豹子号），即为中奖,竞猜开奖号码前三位必出的1个号码,组三|组六,前三组选包胆B面,0
68,前三,前三组选,混合组选,3_20_68,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：001 和 123[br]开奖号码：前三位 010（顺序不限），即中前三组选三，或者前三位 312（顺序不限），即中前三组选六。,手动输入一个三位数号码组成一注（不含豹子号），开奖号码的万位、千位、百位符合前三组三或组六均为中奖,输入3个有效号码组成1注,组三|组六,前三混合组选,0
